iter	Passed	Remaining
0	1	1028
1	1	947
2	2	901
3	3	877
4	4	873
5	5	864
6	6	860
7	6	860
8	7	853
9	9	899
10	10	908
11	11	910
12	12	917
13	13	923
14	14	922
15	14	914
16	15	910
17	16	905
18	17	905
19	18	903
20	19	901
21	20	900
22	21	901
23	22	899
24	22	896
25	23	897
26	24	900
27	26	902
28	27	905
29	27	903
30	28	902
31	29	901
32	30	902
33	31	903
34	32	901
35	33	900
36	34	899
37	35	899
38	36	898
39	37	896
40	38	896
41	39	894
42	40	893
43	41	892
44	42	891
45	42	890
46	43	892
47	45	893
48	46	894
49	47	894
50	48	896
51	49	895
52	50	893
53	51	895
54	52	895
55	53	895
56	54	895
57	55	894
58	56	894
59	57	893
60	57	892
61	58	892
62	59	891
63	60	891
64	61	891
65	62	890
66	63	889
67	64	887
68	65	886
69	66	885
70	67	884
71	68	884
72	69	883
73	70	884
74	71	883
75	72	883
76	73	883
77	74	882
78	75	880
79	76	875
80	77	874
81	78	873
82	79	873
83	80	872
84	80	870
85	81	869
86	82	868
87	83	867
88	84	866
89	85	865
90	86	864
91	87	867
92	89	869
93	90	869
94	91	868
95	92	867
96	93	866
97	94	865
98	95	865
99	96	864
100	97	863
101	98	863
102	99	862
103	99	861
104	100	860
105	101	859
106	102	858
107	103	856
108	104	855
109	105	854
110	106	853
111	107	853
112	108	851
113	109	850
114	110	849
115	111	847
116	112	846
117	113	846
118	114	844
119	115	844
120	116	847
121	117	848
122	119	849
123	120	849
124	121	848
125	122	846
126	123	847
127	124	846
128	125	845
129	126	844
130	127	845
131	128	844
132	129	842
133	130	842
134	131	840
135	131	837
136	132	836
137	133	835
138	134	834
139	135	832
140	136	832
141	137	832
142	138	830
143	139	829
144	140	828
145	141	828
146	142	827
147	143	826
148	144	826
149	145	826
150	146	825
151	147	825
152	148	824
153	150	824
154	151	823
155	152	823
156	153	822
157	154	821
158	155	820
159	155	818
160	156	817
161	157	816
162	158	815
163	159	814
164	160	813
165	161	813
166	162	812
167	163	811
168	164	810
169	165	810
170	167	809
171	168	809
172	169	809
173	170	808
174	171	808
175	172	807
176	173	805
177	174	804
178	175	803
179	176	802
180	177	801
181	178	800
182	179	803
183	180	802
184	181	800
185	182	799
186	183	797
187	184	796
188	185	795
189	186	795
190	187	794
191	188	794
192	189	794
193	190	793
194	191	791
195	192	791
196	193	790
197	194	788
198	195	787
199	196	787
200	198	787
201	199	786
202	199	785
203	200	783
204	201	782
205	202	781
206	203	780
207	204	779
208	205	779
209	207	779
210	208	778
211	209	777
212	210	776
213	211	775
214	211	773
215	212	773
216	214	772
217	215	772
218	216	771
219	217	770
220	218	769
221	219	767
222	220	766
223	221	766
224	222	765
225	223	765
226	224	764
227	225	763
228	226	761
229	227	760
230	228	760
231	229	759
232	230	758
233	231	757
234	232	757
235	234	757
236	235	757
237	236	756
238	237	755
239	238	754
240	239	753
241	240	752
242	241	751
243	242	751
244	243	750
245	244	749
246	245	748
247	246	747
248	247	746
249	248	746
250	250	746
251	252	748
252	253	747
253	254	747
254	255	746
255	256	746
256	258	746
257	259	746
258	260	745
259	261	745
260	262	744
261	263	743
262	265	743
263	266	743
264	268	745
265	269	743
266	270	742
267	271	741
268	272	740
269	274	740
270	275	740
271	277	741
272	278	741
273	279	740
274	280	738
275	281	737
276	282	736
277	283	735
278	284	733
279	285	733
280	286	733
281	288	733
282	289	732
283	290	732
284	291	732
285	294	734
